Time,RSRP,RSRQ,RSSI,SINR Rx[0],SINR Rx[1],Cycles,Test KPI type,Test KPI best,Test KPI worst,Test KPI avg,Intermediate KPI
2017-11-27 14:12:19.765,-80.6,-23.7,-104.5,23.2,22.5,2/0,Application thrpt,42612.8,42612.8,42612.8,104809
2017-11-27 14:12:20.465,-82,-22.3,-10.2,22.4,22.5,2/0,Application thrpt,42612.8,42612.8,42612.8,104809
2017-11-27 14:12:21.280,-82,-22.3,-10.2,22.4,22.5,2/0,Application thrpt,42612.8,42612.8,42612.8,105093
2017-11-27 14:12:21.665,-82.3,-23,-104.9,22.3,21.9,2/0,Application thrpt,42612.8,42612.8,42612.8,105093
2017-11-27 14:12:22.155,-78.6,-27,-96.8,23.1,21.7,2/0,Application thrpt,42612.8,42612.8,42612.8,105093
2017-11-27 14:12:22.675,-79,-21.9,-106.6,22.9,23.2,2/0,Application thrpt,42612.8,42612.8,42612.8,105093
2017-11-27 14:12:23.200,-77.7,-26.8,-94.4,23.8,23.7,2/0,Application thrpt,42612.8,42612.8,42612.8,105093
2017-11-27 14:12:23.280,-77.7,-26.8,-94.4,23.8,23.7,2/0,Application thrpt,42612.8,42612.8,42612.8,77086
2017-11-27 14:12:23.715,-74.7,-25.1,-89.2,24,23.6,2/0,Application thrpt,42612.8,42612.8,42612.8,77086
2017-11-27 14:12:24.235,-78.3,-24.8,-100.8,23.1,22.5,2/0,Application thrpt,42612.8,42612.8,42612.8,77086
2017-11-27 14:12:24.715,-75.8,-22.2,-96.9,23.7,23.6,2/0,Application thrpt,42612.8,42612.8,42612.8,77086
2017-11-27 14:12:25.235,-71.8,-27.8,-75.3,24.1,23.9,2/0,Application thrpt,42612.8,42612.8,42612.8,77086
2017-11-27 14:12:25.285,-71.8,-27.8,-75.3,24.1,23.9,2/0,Application thrpt,42612.8,42612.8,42612.8,101373
2017-11-27 14:12:25.745,-74.4,-23.1,-91.6,23.3,23.7,2/0,Application thrpt,42612.8,42612.8,42612.8,101373
2017-11-27 14:12:26.265,-72.6,-25.2,-81.2,24.3,24.2,2/0,Application thrpt,42612.8,42612.8,42612.8,101373
2017-11-27 14:12:26.835,-72,-20.4,-80.1,24.2,24.3,2/0,Application thrpt,42612.8,42612.8,42612.8,101373
2017-11-27 14:12:27.285,-72,-20.4,-80.1,24.2,24.3,2/0,Application thrpt,42612.8,42612.8,42612.8,107332
2017-11-27 14:12:27.350,-71.8,-21.9,-84.2,23.3,24.1,2/0,Application thrpt,42612.8,42612.8,42612.8,107332
2017-11-27 14:12:27.830,-74,-22.8,-87,23.2,23.4,2/0,Application thrpt,42612.8,42612.8,42612.8,107332
2017-11-27 14:12:28.355,-71.8,-22,-80.3,24.1,24.2,2/0,Application thrpt,42612.8,42612.8,42612.8,107332
2017-11-27 14:12:28.875,-67.6,-24.7,-61.6,25,24.8,2/0,Application thrpt,42612.8,42612.8,42612.8,107332
2017-11-27 14:12:29.285,-67.6,-24.7,-61.6,25,24.8,2/0,Application thrpt,42612.8,42612.8,42612.8,120719
2017-11-27 14:12:29.395,-68,-21.8,-69,23.9,24.7,2/0,Application thrpt,42612.8,42612.8,42612.8,120719
2017-11-27 14:12:29.870,-68.2,-24.1,-65.2,24.3,24.4,2/0,Application thrpt,42612.8,42612.8,42612.8,120719
2017-11-27 14:12:30.405,-70.1,-23.3,-75.1,23.6,24.1,2/0,Application thrpt,42612.8,42612.8,42612.8,120719
2017-11-27 14:12:30.915,-68.8,-24.4,-68,24.2,24.2,2/0,Application thrpt,42612.8,42612.8,42612.8,120719
2017-11-27 14:12:31.285,-68.8,-24.4,-68,24.2,24.2,2/0,Application thrpt,42612.8,42612.8,42612.8,121411
2017-11-27 14:12:31.435,-71.8,-22.5,-80.6,24,24.6,2/0,Application thrpt,42612.8,42612.8,42612.8,121411
2017-11-27 14:12:31.760,-71.8,-22.5,-80.6,24,24.6,2/0,Application thrpt,103851,42612.8,73231.9,0
2017-11-27 14:12:31.765,-71.8,-22.5,-80.6,24,24.6,3/0,Application thrpt,103851,42612.8,73231.9,0
2017-11-27 14:12:31.860,-70,-24.4,-72.3,24,24.1,3/0,Application thrpt,103851,42612.8,73231.9,0
2017-11-27 14:12:32.325,-72.6,-24.7,-82.7,23.6,24.6,3/0,Application thrpt,103851,42612.8,73231.9,0
2017-11-27 14:12:32.895,-69.6,-5.8,-72.2,25.8,26.3,3/0,Application thrpt,103851,42612.8,73231.9,0
2017-11-27 14:12:33.530,-70.8,-8.7,-77.9,25.8,26.7,3/0,Application thrpt,103851,42612.8,73231.9,0
